TIME,CH2
-5,0.02
-5,0.04
-5,0.02
-5,0
-5,0.04
-5,0
-4.99,0
-4.99,0
-4.99,0.02
-4.99,0
-4.99,0.04
-4.99,0
-4.99,0.02
-4.99,0
-4.99,-0.02
-4.99,0
-4.98,0
-4.98,0
-4.98,0
-4.98,0
-4.98,0
-4.98,0.04
-4.98,0.02
-4.98,0
-4.98,0
-4.98,0
-4.97,0.02
-4.97,0
-4.97,0
-4.97,0
-4.97,0
-4.97,0
-4.97,0
-4.97,0
-4.97,0
-4.97,0
-4.96,-0.02
-4.96,0.04
-4.96,0.02
-4.96,0.02
-4.96,0.02
-4.96,0
-4.96,0.02
-4.96,0.04
-4.96,0.02
-4.96,0
-4.95,0
-4.95,0.02
-4.95,0
-4.95,0
-4.95,0.04
-4.95,-0.04
-4.95,-0.02
-4.95,0
-4.95,0
-4.95,0.02
-4.94,0
-4.94,0
-4.94,0
-4.94,0
-4.94,0
-4.94,-0.02
-4.94,0
-4.94,0.02
-4.94,0
-4.94,0
-4.93,0
-4.93,0.04
-4.93,0
-4.93,0.02
-4.93,-0.02
-4.93,0
-4.93,0
-4.93,-0.02
-4.93,0
-4.93,0.02
-4.92,0.02
-4.92,0
-4.92,0
-4.92,0.02
-4.92,0
-4.92,0
-4.92,0.02
-4.92,0
-4.92,0
-4.92,0
-4.91,0
-4.91,0.02
-4.91,0
-4.91,0
-4.91,0
-4.91,-0.02
-4.91,0
-4.91,0.02
-4.91,0.04
-4.91,0
-4.9,0
-4.9,0
-4.9,0
-4.9,0
-4.9,0
-4.9,0
-4.9,0
-4.9,0
-4.9,0
-4.9,0
-4.89,0.04
-4.89,0
-4.89,0
-4.89,0.02
-4.89,0.04
-4.89,0
-4.89,0
-4.89,0
-4.89,0.02
-4.89,0.02
-4.88,0
-4.88,0
-4.88,-0.02
-4.88,0
-4.88,0.02
-4.88,0
-4.88,-0.02
-4.88,0
-4.88,0.04
-4.88,0
-4.87,0
-4.87,0
-4.87,0
-4.87,0
-4.87,0
-4.87,0
-4.87,0
-4.87,0
-4.87,0
-4.87,-0.02
-4.86,0.02
-4.86,0
-4.86,0
-4.86,0.02
-4.86,0
-4.86,0.02
-4.86,0
-4.86,0
-4.86,0
-4.86,0
-4.85,0
-4.85,0.04
-4.85,0
-4.85,0
-4.85,0
-4.85,0.02
-4.85,0
-4.85,0
-4.85,0
-4.85,0
-4.84,0
-4.84,0
-4.84,0
-4.84,0
-4.84,0
-4.84,0
-4.84,0
-4.84,0
-4.84,0
-4.84,0
-4.83,0
-4.83,0
-4.83,0
-4.83,0
-4.83,0.02
-4.83,0
-4.83,0.02
-4.83,0
-4.83,0
-4.83,0
-4.82,0
-4.82,0
-4.82,-0.02
-4.82,0
-4.82,0
-4.82,0
-4.82,0
-4.82,0
-4.82,0
-4.82,0
-4.81,0
-4.81,0
-4.81,0.02
-4.81,0
-4.81,0.04
-4.81,0
-4.81,0
-4.81,0
-4.81,0.02
-4.81,0
-4.8,0
-4.8,0
-4.8,0
-4.8,0.02
-4.8,0
-4.8,0.02
-4.8,0
-4.8,0
-4.8,0
-4.8,0
-4.79,0
-4.79,0.02
-4.79,0
-4.79,0.04
-4.79,0
-4.79,0
-4.79,0.02
-4.79,0.02
-4.79,0
-4.79,0.02
-4.78,0
-4.78,0
-4.78,0.02
-4.78,0.02
-4.78,0
-4.78,0.04
-4.78,0
-4.78,0
-4.78,0
-4.78,0
-4.77,0
-4.77,0.02
-4.77,0.02
-4.77,0
-4.77,-0.02
-4.77,0
-4.77,0.02
-4.77,0
-4.77,0
-4.77,0
-4.76,0
-4.76,0.02
-4.76,0
-4.76,0.02
-4.76,0
-4.76,0.02
-4.76,0
-4.76,-0.02
-4.76,0.02
-4.76,0.02
-4.75,0.02
-4.75,0
-4.75,0.02
-4.75,0.02
-4.75,0
-4.75,0
-4.75,0.02
-4.75,0
-4.75,0.02
-4.75,0
-4.74,0.04
-4.74,0
-4.74,0
-4.74,0.02
-4.74,0
-4.74,0
-4.74,0
-4.74,0
-4.74,0
-4.74,0
-4.73,0
-4.73,0
-4.73,0
-4.73,0.02
-4.73,0.02
-4.73,0.02
-4.73,0.02
-4.73,0
-4.73,0
-4.73,0.02
-4.72,0
-4.72,0.02
-4.72,0
-4.72,0
-4.72,-0.02
-4.72,0
-4.72,0
-4.72,0.02
-4.72,0.02
-4.72,0
-4.71,0.02
-4.71,0.02
-4.71,0
-4.71,0
-4.71,0
-4.71,0.02
-4.71,0.02
-4.71,0
-4.71,0
-4.71,0
-4.7,0.02
-4.7,0
-4.7,0.04
-4.7,0.02
-4.7,0
-4.7,0
-4.7,0
-4.7,0
-4.7,0
-4.7,0
-4.69,0.04
-4.69,0
-4.69,0
-4.69,0.02
-4.69,0
-4.69,0
-4.69,0
-4.69,0
-4.69,0.02
-4.69,0
-4.68,0
-4.68,0
-4.68,0
-4.68,0.02
-4.68,0
-4.68,0.02
-4.68,0
-4.68,0.02
-4.68,0.02
-4.68,0
-4.67,0
-4.67,0
-4.67,0
-4.67,0
-4.67,0
-4.67,0
-4.67,0
-4.67,0
-4.67,0.02
-4.67,0
-4.66,0
